Time (UTC),Latitude,Longitude,Depth (Sonar),Temperature (°C),pH,Depth (m),Conductivity (uS/cm),Dissolved Oxygen Saturation,Dissolved Oxygen Concentration (mg/L),Chlorophyll (ug/L),CDOM (ppb),Turbidity (NTU),Salinity (PSU)
1751024118.6833687,33.4304263,-111.92886,1.3220999713897705,30.59,8.61,-0.08,11.2,112.8,8.16,-78.10,0.23,46.07,0.0032588049216570824
1751024119.66247,33.4304263,-111.92886,1.3420999523162842,30.60,8.61,-0.08,19.6,112.8,8.15,-78.22,0.18,46.36,0.006688914041154551
1751024120.6732578,33.4304265,-111.9288603,1.352099942779541,30.60,8.62,-0.08,19.0,112.8,8.15,-78.28,0.20,47.07,0.006438902258926946
1751024121.671606,33.4304268,-111.9288609,1.3170999761581421,30.61,8.62,-0.08,17.7,112.9,8.16,-78.43,0.25,48.11,0.005897764506065918
1751024122.6716068,33.4304272,-111.9288617,1.3170999761581421,30.62,8.61,-0.08,3.6,112.9,8.16,-78.60,0.14,48.87,0.0004566496273170685
1751024123.6857438,33.4304274,-111.9288626,1.3480999942779541,30.63,8.62,-0.08,3.2,112.9,8.16,-78.70,0.23,49.11,0.00033156269548974737
1751024124.671204,33.4304282,-111.9288611,1.3290999408721924,30.63,8.62,-0.08,3.3,113.1,8.17,-78.67,0.14,49.11,0.0003623404772706493
1751024125.671356,33.4304295,-111.9288578,1.3791000123977661,30.62,8.61,-0.08,4.4,113.1,8.17,-78.84,0.16,48.70,0.0007183371801431607
1751024126.6715212,33.4304309,-111.9288545,1.4811000104904175,30.62,8.60,-0.08,22.8,113.1,8.17,-78.89,0.15,47.90,0.00802672988059913
1751024127.6721387,33.4304327,-111.9288528,1.6171000476837158,30.64,8.60,-0.08,138.2,113.3,8.18,-79.38,0.25,47.03,0.05756843718776257
1751024128.6948504,33.4304342,-111.9288517,1.7591000076293946,30.63,8.60,-0.08,142.6,113.3,8.19,-79.43,0.26,46.47,0.059466129481863056
1751024129.6841857,33.4304348,-111.9288513,1.8480999942779541,30.57,8.61,-0.08,124.6,113.3,8.19,-79.49,0.20,46.47,0.05180776592720589
1751024130.6812303,33.4304352,-111.9288514,1.8801000591278076,30.55,8.61,-0.08,15.7,113.4,8.21,-79.52,0.13,46.49,0.00508116561754473
1751024131.685388,33.4304357,-111.9288514,1.92310004196167,30.56,8.61,-0.08,11.1,113.4,8.21,-79.32,0.23,47.07,0.003221788384661829
1751024132.6803722,33.4304359,-111.9288515,1.9351000066757202,30.55,8.62,-0.09,16.3,113.4,8.21,-79.57,0.09,47.97,0.005327831482842476
1751024133.6811628,33.4304365,-111.9288514,1.9290999647140503,30.55,8.62,-0.08,10.4,113.6,8.22,-79.38,0.19,48.80,0.0029464595409218045
1751024134.691737,33.4304377,-111.9288508,2.0021000381469727,30.54,8.62,-0.08,185.7,113.6,8.22,-79.61,0.23,49.17,0.078084364541905
1751024135.7435138,33.430439,-111.9288503,2.118099975204468,30.56,8.62,-0.08,180.9,113.6,8.22,-79.73,0.20,49.17,0.07599205836620465
1751024137.6800623,33.43044,-111.9288508,2.2460999961853028,30.62,8.62,-0.08,79.9,113.7,8.22,-79.66,0.23,48.14,0.03255098992352162
1751024138.6817093,33.4304401,-111.9288515,2.2621000286102295,30.64,8.63,-0.08,97.5,113.7,8.22,-79.66,0.25,47.24,0.040105844278965935
1751024139.7433941,33.4304403,-111.9288523,2.2771000143051148,30.65,8.61,-0.09,90.2,113.9,8.23,-79.62,0.19,46.63,0.036961158430205754
1751024140.681231,33.4304441,-111.9288525,2.29810004196167,30.62,8.61,-0.08,22.4,113.9,8.24,-79.51,0.17,46.54,0.007858447237991052
1751024141.7488527,33.4304523,-111.9288544,2.3741000171661377,30.58,8.74,-0.08,3.6,113.9,8.24,-79.59,0.27,46.54,0.00045761183711518063
1751024142.6903872,33.4304601,-111.9288565,2.4410999294281006,30.78,8.72,-0.08,8.5,114.0,8.22,-79.71,0.18,46.96,0.002194726030004621
1751024143.6906962,33.4304686,-111.928858,2.5091000076293946,30.87,8.60,-0.08,16.4,114.0,8.21,-79.61,0.20,47.83,0.005327430932382249
1751024144.696321,33.4304769,-111.9288592,2.546099948501587,30.91,8.60,-0.08,23.7,114.0,8.20,-79.54,0.12,48.70,0.008350710437561427
1751024145.697492,33.4304837,-111.9288605,2.539099979019165,30.90,8.59,-0.08,22.1,114.1,8.21,-79.47,0.18,49.19,0.007682714304758963
1751024146.6901157,33.4304887,-111.9288616,2.5211000915527344,30.89,8.60,-0.08,15.7,114.1,8.21,-79.46,0.22,49.19,0.005038984453925574
1751024147.690219,33.4304922,-111.9288622,2.487099933242798,30.88,8.60,-0.08,8.4,114.1,8.21,-79.39,0.09,48.96,0.0021504392579299036
1751024148.7425501,33.4304951,-111.9288628,2.4370999809265137,30.87,8.61,-0.09,3.8,114.1,8.22,-79.32,0.30,47.33,0.0005143243231776416
1751024149.689301,33.4304974,-111.9288631,2.4001000400543213,30.86,8.61,-0.08,2.4,114.1,8.22,-79.22,0.26,47.33,9.473492409901274e-05
1751024150.6908848,33.4304994,-111.9288634,2.3810999866485596,30.86,8.62,-0.08,42.9,114.1,8.22,-79.24,0.19,46.77,0.016525004210076136
1751024151.6902907,33.4305014,-111.9288638,2.3731000896453858,30.84,8.62,-0.08,44.7,114.2,8.22,-79.24,0.18,46.71,0.017303307241393413
1751024152.7433612,33.4305031,-111.9288643,2.3790998931884766,30.83,8.62,-0.08,47.5,114.2,8.22,-79.30,0.16,46.71,0.018507790038489635
1751024153.7463522,33.4305045,-111.9288649,2.3980999465942383,30.85,8.62,-0.08,8.1,114.2,8.22,-79.20,0.18,48.13,0.002038918962613478
1751024154.7432592,33.4305059,-111.9288655,2.425099897003174,30.85,8.62,-0.08,6.5,114.2,8.22,-79.28,0.20,48.99,0.0014461990983656973
1751024155.743162,33.4305073,-111.9288662,2.4461000438690186,30.84,8.62,-0.08,44.0,114.2,8.22,-79.32,0.23,48.99,0.01700328546180079
