sample_id,timestamp,latitude,longitude,x_meters,y_meters,temperature_celsius
1,2025-10-06T20:39:48.074117,33.43042600000001,-111.92881898525228,0.001317,0.000000,9.030
2,2025-10-06T20:39:56.573826,33.43044434083034,-111.92880596514406,1.210729,2.043355,9.407
3,2025-10-06T20:39:58.574220,33.43046733352543,-111.92880689663866,1.125615,4.595906,8.975
4,2025-10-06T20:40:00.074088,33.43048685937415,-111.92880774504582,1.045226,6.786505,8.280
5,2025-10-06T20:40:01.573914,33.43050782476858,-111.92880845821475,0.980250,9.082077,9.013
6,2025-10-06T20:40:03.074519,33.43052873145502,-111.92880921425383,0.909087,11.426272,9.192
7,2025-10-06T20:40:04.574057,33.43054986769556,-111.92880997301403,0.838785,13.764574,9.295
8,2025-10-06T20:40:06.074265,33.43057163127271,-111.92881075099437,0.767366,16.146831,8.930
9,2025-10-06T20:40:07.573887,33.43059293016222,-111.92881151538015,0.695512,18.534751,9.533
10,2025-10-06T20:40:09.074268,33.430614257445946,-111.9288122789283,0.623729,20.925873,9.679
11,2025-10-06T20:40:10.574053,33.43063611522684,-111.92881306251215,0.552772,23.286509,9.964
12,2025-10-06T20:40:12.073984,33.4306574611959,-111.92881382726453,0.480882,25.679697,10.002
13,2025-10-06T20:40:13.574034,33.430678810751026,-111.92881459236325,0.408959,28.073290,10.673
14,2025-10-06T20:40:15.074190,33.43070067965006,-111.92881537597707,0.337041,30.467038,10.751
15,2025-10-06T20:40:16.574303,33.430722031293634,-111.92881614109604,0.265116,32.860863,10.793
16,2025-10-06T20:40:18.074497,33.43074338340418,-111.92881690621562,0.194150,35.222823,11.088
17,2025-10-06T20:40:19.574219,33.430765253626845,-111.9288176899086,0.122224,37.616715,11.294
18,2025-10-06T20:40:21.073988,33.43078461118954,-111.92881838356297,0.057037,39.786320,11.809
19,2025-10-06T20:40:23.574408,33.430806309553276,-111.92881737989697,0.154900,42.193248,12.251
20,2025-10-06T20:40:26.073967,33.43081043517682,-111.92879609442265,2.133692,42.639770,11.752
21,2025-10-06T20:40:28.574135,33.430806024128245,-111.9287742712651,4.185931,42.140720,11.475
22,2025-10-06T20:40:31.074132,33.430785589475846,-111.92876441211676,5.076765,39.885105,12.031
23,2025-10-06T20:40:33.074208,33.430761725501185,-111.92876427022905,5.090457,37.209416,11.319
24,2025-10-06T20:40:34.574034,33.43074146513418,-111.92876451895529,5.066768,34.984822,11.363
25,2025-10-06T20:40:36.074135,33.4307208423062,-111.92876451503002,5.067234,32.672284,10.730
26,2025-10-06T20:40:37.574231,33.43069979967738,-111.92876459288267,5.059882,30.350506,10.316
27,2025-10-06T20:40:39.074216,33.4306781621912,-111.9287646531397,5.054367,27.975788,10.304
28,2025-10-06T20:40:40.574687,33.43065688725318,-111.92876471562255,5.048494,25.590550,9.644
29,2025-10-06T20:40:42.074095,33.43063551299045,-111.92876477875569,5.042585,23.200590,9.096
30,2025-10-06T20:40:43.574025,33.43061371191075,-111.92876484225808,5.036819,20.839861,8.943
31,2025-10-06T20:40:45.073918,33.43059236017553,-111.92876490503221,5.030918,18.446028,9.024
32,2025-10-06T20:40:46.574309,33.43057094608378,-111.92876496767111,5.025047,16.051652,9.333
33,2025-10-06T20:40:48.074003,33.43054912590685,-111.92876503166494,5.019159,13.656934,8.830
