sample_id,timestamp,latitude,longitude,x_meters,y_meters,temperature_celsius
1,2025-10-06T19:59:32.668801,33.430426000000004,-111.92881898337524,0.001447,0.000000,9.030
2,2025-10-06T19:59:41.168070,33.43044421016482,-111.9288059395515,1.214648,2.019843,9.408
3,2025-10-06T19:59:43.168402,33.43046717599247,-111.92880687704697,1.127416,4.595309,8.975
4,2025-10-06T19:59:44.668522,33.430487125777134,-111.92880774274222,1.046697,6.785991,8.283
5,2025-10-06T19:59:46.168025,33.43050765284664,-111.9288084371718,0.981737,9.081611,9.014
6,2025-10-06T19:59:47.668072,33.43052855720694,-111.92880919337803,0.911429,11.394359,9.181
7,2025-10-06T19:59:49.168140,33.43055014948755,-111.92880996952299,0.840038,13.764126,9.295
8,2025-10-06T19:59:50.668231,33.43057145519459,-111.92881073241128,0.768515,16.146386,8.930
9,2025-10-06T19:59:52.168091,33.43059275376707,-111.92881149796797,0.696557,18.534305,9.533
10,2025-10-06T19:59:53.668332,33.43061454094183,-111.92881227911862,0.625631,20.893530,9.663
11,2025-10-06T19:59:55.168196,33.4306359385689,-111.92881304731249,0.553611,23.286058,9.964
12,2025-10-06T19:59:56.668118,33.4306572844729,-111.92881381316805,0.481616,25.679242,10.002
13,2025-10-06T19:59:58.168212,33.43067909437039,-111.92881459589707,0.409589,28.072832,10.673
14,2025-10-06T19:59:59.668353,33.43070050284721,-111.92881536412577,0.338527,30.434660,10.771
15,2025-10-06T20:00:01.168222,33.43072185445765,-111.92881613035392,0.266498,32.828482,10.782
16,2025-10-06T20:00:02.668686,33.430743666962734,-111.92881691310525,0.194469,35.222356,11.088
17,2025-10-06T20:00:04.168225,33.430765076731866,-111.92881768141169,0.122439,37.616245,11.294
18,2025-10-06T20:00:05.668032,33.43078447831301,-111.92881837764118,0.057146,39.786220,11.809
19,2025-10-06T20:00:08.168206,33.43080651075934,-111.92881721200243,0.163312,42.199062,12.241
20,2025-10-06T20:00:10.668582,33.43081041319932,-111.92879593476523,2.158880,42.633933,11.748
21,2025-10-06T20:00:13.168198,33.430805922441166,-111.92877365483638,4.205877,42.145137,11.488
22,2025-10-06T20:00:15.668178,33.43078568541228,-111.9287638369839,5.128139,39.876477,12.006
23,2025-10-06T20:00:17.668307,33.4307613793624,-111.92876375894463,5.137512,37.199757,11.306
24,2025-10-06T20:00:19.168181,33.43074153957632,-111.92876404010177,5.111440,35.005235,11.351
25,2025-10-06T20:00:20.668251,33.43072091975388,-111.92876407174026,5.108424,32.693343,10.722
26,2025-10-06T20:00:22.168170,33.43069942340627,-111.92876418463486,5.097994,30.340318,10.309
27,2025-10-06T20:00:23.668224,33.43067824180862,-111.92876427718417,5.089280,27.965568,10.277
28,2025-10-06T20:00:25.168066,33.43065696730637,-111.92876437354955,5.080204,25.580325,9.642
29,2025-10-06T20:00:26.668747,33.430635133292505,-111.9287644730967,5.071197,23.222249,9.117
30,2025-10-06T20:00:28.168264,33.43061379237382,-111.92876456951468,5.062137,20.829638,8.939
31,2025-10-06T20:00:29.668358,33.430592440766695,-111.92876466656136,5.053016,18.435814,9.018
32,2025-10-06T20:00:31.168492,33.430570566221945,-111.92876476564743,5.043923,16.041446,9.326
33,2025-10-06T20:00:32.668233,33.43054920670717,-111.92876486256311,5.034935,13.678669,8.826
34,2025-10-06T20:00:34.168174,33.43052784602916,-111.92876495940628,5.025832,11.283831,8.896
35,2025-10-06T20:00:35.668661,33.430506484789134,-111.92876505628811,5.016726,8.888929,8.856
36,2025-10-06T20:00:37.168065,33.4304846049401,-111.92876515550597,5.007621,6.493983,9.238
37,2025-10-06T20:00:38.668348,33.430464971140005,-111.92876524459075,4.999268,4.297814,9.313
38,2025-10-06T20:00:40.668189,33.430445065550124,-111.92876482495817,5.036357,2.128887,9.148
39,2025-10-06T20:00:42.668026,33.4304305867284,-111.92874980857214,6.443273,0.507070,9.636
40,2025-10-06T20:00:45.167968,33.43042748744375,-111.92872515780094,8.727518,0.164989,10.294
41,2025-10-06T20:00:47.668597,33.43043612176785,-111.92870247449176,10.837911,1.126540,10.537
42,2025-10-06T20:00:49.668346,33.430456713929,-111.92870413223899,10.682849,3.396316,10.097
43,2025-10-06T20:00:51.168134,33.430475288336105,-111.92870379048061,10.714580,5.472790,10.191
44,2025-10-06T20:00:52.668251,33.43049524367787,-111.92870454285516,10.644742,7.680406,10.013
45,2025-10-06T20:00:54.168860,33.43051590930875,-111.92870490597947,10.610505,9.997568,9.638
46,2025-10-06T20:00:55.668416,33.430537429568275,-111.92870544114703,10.561319,12.353284,9.518
47,2025-10-06T20:00:57.168113,33.430558623427544,-111.92870591444665,10.516811,14.729445,9.471
48,2025-10-06T20:00:58.668422,33.430579898792345,-111.9287064084402,10.470363,17.114796,9.071
49,2025-10-06T20:01:00.168591,33.430601732761595,-111.92870690916494,10.425026,19.472877,8.955
50,2025-10-06T20:01:01.668158,33.43062307176317,-111.92870740039878,10.378847,21.865279,8.564
51,2025-10-06T20:01:03.168033,33.430644419936705,-111.92870789131463,10.332696,24.258720,8.810
52,2025-10-06T20:01:04.668101,33.430666291145755,-111.92870839436559,10.286524,26.652724,9.254
53,2025-10-06T20:01:06.168790,33.43068764704742,-111.9287088855603,10.240963,29.015102,9.258
54,2025-10-06T20:01:07.668478,33.43070900392533,-111.9287093767662,10.194784,31.409514,9.665
55,2025-10-06T20:01:09.168104,33.4307308795541,-111.92870987991412,10.148604,33.803999,10.313
56,2025-10-06T20:01:10.668097,33.430752237396185,-111.92871037114688,10.102423,36.198519,10.773
57,2025-10-06T20:01:12.168107,33.43077344690278,-111.92871085883979,10.057194,38.544327,11.271
58,2025-10-06T20:01:14.168121,33.43079527661417,-111.92871136119471,10.010732,40.951901,11.938
59,2025-10-06T20:01:16.668229,33.430812285500934,-111.92870193477131,10.901556,42.849817,12.298
60,2025-10-06T20:01:19.168045,33.430808397903384,-111.9286786930678,13.039475,42.416640,11.874
61,2025-10-06T20:01:21.667995,33.43079931666633,-111.92865710024509,15.062546,41.396395,11.254
62,2025-10-06T20:01:23.668407,33.43077882035461,-111.92865678269881,15.086483,39.134295,10.471
63,2025-10-06T20:01:25.168289,33.430760403202164,-111.92865613312564,15.146836,37.097266,9.563
64,2025-10-06T20:01:26.668360,33.43074045433438,-111.92865645010707,15.117292,34.866616,9.650
65,2025-10-06T20:01:28.168585,33.430719357735455,-111.92865647312924,15.115296,32.551272,9.049
66,2025-10-06T20:01:29.668111,33.43069835460189,-111.92865659744486,15.103658,30.196533,9.049
67,2025-10-06T20:01:31.168043,33.43067710903265,-111.9286566935521,15.094681,27.820873,9.155
